ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-09-2014_20-45-54,Script6,0.35,45,2500,88.4058,73.5714,85.0722
03-09-2014_19-45-27,Script6,0.25,65,500,88.2136,75.1445,85.0559
03-09-2014_20-40-39,Script6,0.35,25,3700,87.4763,77.9006,85.0282
03-09-2014_20-29-43,Script6,0.35,5,2100,89.043,72.8395,84.9585
03-09-2014_19-37-51,Script6,0.25,45,900,87.8738,75.6345,84.8561
03-09-2014_20-28-51,Script6,0.35,5,1700,88.4831,74.6032,84.8548
03-09-2014_19-47-56,Script6,0.25,65,1700,88.0734,74.2515,84.8315
03-09-2014_19-33-45,Script6,0.25,25,2900,88.4722,72.7273,84.7872
03-09-2014_19-49-36,Script6,0.25,65,2500,87.8558,76.1905,84.7765
03-09-2014_18-36-03,Script6,0.15,65,900,87.0406,77.5148,84.6939
03-09-2014_18-39-22,Script6,0.15,65,2500,86.9219,77.551,84.6902
03-09-2014_18-38-32,Script6,0.15,65,2100,88.4342,72.9282,84.6568
03-09-2014_19-35-30,Script6,0.25,25,3700,87.7318,74.477,84.3617
03-09-2014_19-50-26,Script6,0.25,65,2900,85.8736,79.7753,84.3575
03-09-2014_19-47-07,Script6,0.25,65,1300,86.6541,77.4011,84.3441
03-09-2014_19-42-18,Script6,0.25,45,2900,87.4161,74.6114,84.2839
03-09-2014_19-51-16,Script6,0.25,65,3300,86.7031,76.0479,84.2179
03-09-2014_19-28-27,Script6,0.25,25,500,89.1334,68.4211,84.1885
03-09-2014_19-44-00,Script6,0.25,45,3700,86.3487,76.7956,84.1572
03-09-2014_18-35-13,Script6,0.15,65,500,88.4615,72.2222,84.1246
03-09-2014_19-31-59,Script6,0.25,25,2100,88.5714,70.8333,84.0426
03-09-2014_19-31-06,Script6,0.25,25,1700,87.5714,73.3051,83.9744
03-09-2014_18-41-05,Script6,0.15,65,3300,87.1176,74.2574,83.9611
03-09-2014_19-40-36,Script6,0.25,45,2100,87.6254,72.2513,83.9037
03-09-2014_19-26-26,Script6,0.25,5,3700,85.5693,78.4946,83.8765
03-09-2014_18-40-14,Script6,0.15,65,2900,87.04,73.7374,83.8396
03-09-2014_18-41-57,Script6,0.15,65,3700,86.0197,77.6744,83.8396
03-09-2014_19-30-14,Script6,0.25,25,1300,86.4789,75.6522,83.8298
03-09-2014_19-48-46,Script6,0.25,65,2100,87.9473,71.8919,83.7989
03-09-2014_19-43-09,Script6,0.25,45,3300,86.9932,74.1117,83.7769
03-09-2014_18-37-42,Script6,0.15,65,1700,87.6364,71.8232,83.7209
03-09-2014_19-29-21,Script6,0.25,25,900,87.1056,72.5664,83.6649
